2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,2019crimerate,2019brightness,target,community
11027.37,19.59,11052.41,20.36,0,11053.04,16.74,37,11138.69,11138.69,22.09,1,11136.34,20.11,1,1,48
8342.82,14.62,8349.19,12.58,0,8335.55,18.12,0,8332.34,8332.34,16.32,0,8323.28,18.86,0,1,49
1119.73,140.21,1121.3,115.04,0,1120.3,116.04,0,1115.81,1115.81,156.84,0,1118.37,128.76,0,4,50
7800.56,20.9,7812.96,24.7,1,7814.41,24.31,0,7826.04,7826.04,22.74,0,7841.12,22.32,1,1,51
6086.39,22.34,6091.77,22.65,0,6078.52,19.58,0,6081.21,6081.21,24.67,0,6081.65,46.7,0,2,52
6373.47,31.54,6332.76,36.16,0,6298.41,32.55,0,6297.98,6297.98,31.76,0,6301.69,32.69,0,2,927
5734.63,24.06,5751.37,30.6,0,5762.41,28.46,0,5766.65,5766.65,26.88,0,5806.14,33.07,0,2,54
15961.91,19.23,17096.82,24.27,14,17557.59,23.75,38,17962.9,17962.9,22.88,31,18623.29,22.34,37,1,55
12487.81,20.26,12407.01,23.78,2,12344.02,18.63,508,12290.81,12290.81,20.1,59,12236.64,23.54,44,1,928
2070.62,9.18,2064,9.21,0,2066.51,6.77,0,2064.55,2064.55,12.59,19,2072.5,6.27,5,3,929
10080.64,29.26,10389.55,33.4,0,10415.4,33.32,0,10467.11,10467.11,36.59,0,10449.32,36.37,0,2,930
678.04,76.69,673.19,53.48,0,671.48,105.74,0,668.65,668.65,136.09,0,661.17,72.6,0,3,931
13703.11,40.94,13511.04,36.78,0,13483.89,35.75,12,13483.95,13483.95,39.38,0,13090.42,39.57,7,2,60
4786.96,23.61,4758.4,21.65,0,5013.65,24.33,4,4943.63,4943.63,33.78,0,4990.91,38.67,0,2,932
7356.19,77.21,7335.86,91.47,0,7372.94,116.24,0,7354.68,7354.68,128.76,0,7298.01,173.06,0,4,933
3256.81,72.77,3249.45,66.78,0,3262.92,62.52,0,3227.74,3227.74,61.34,0,3250.62,64.6,0,3,934
10860,12.15,11377.91,12.3,0,12373.81,12.36,50,12851.63,12851.63,14.32,1,12989.31,12.78,0,1,935
2053.01,10.72,2063.3,9.21,0,2052.55,11.21,0,2065.82,2065.82,14.04,0,2077.44,9.15,0,1,64
2845.04,29.53,2835.21,33.51,0,2830.11,53.35,0,2836.08,2836.08,51.83,0,2838.67,41.57,0,2,85
6386.75,10.96,6399.29,10,1,6424.75,9.34,2,6416.67,6416.67,10.91,6,6416.53,11.07,5,1,65
4922.85,6.91,4928.05,7.71,0,4951.79,7.88,1,4966.21,4966.21,10.47,0,4996.62,8.01,0,1,66
4027.7,16.63,4245.25,18.37,37,4933.89,18.65,22,5445.8,5445.8,15.98,12,5797.12,19.15,52,1,67
5382.43,15.42,5362.09,9.51,0,5375.23,10.6,3,5373.3,5373.3,14.14,0,5396.47,13.53,0,1,936
23683.95,15.92,24112.2,17.42,2,24436.74,15.18,24,24883.56,0,16.32,9,25109.08,16.41,2,1,70
19796.47,11.77,20071.53,12.01,5,20236.16,9.14,69,20397.47,24883.56,11.13,26,20423.82,12.44,7,1,71
8273.46,16.44,8271.2,22.25,0,8454.57,26.02,111,8780.5,20397.47,30.52,0,9308.53,22.13,6,1,937
5927.86,33.06,5914.52,24.01,0,5982.53,23.07,3,5994.34,8780.5,26.02,0,5953.26,26.04,0,1,938
150,220.01,148.68,228.68,0,147.3,285.13,0,146.08,5994.34,232.76,0,144.98,179.33,0,4,82
11134.22,18.41,11084.67,18.67,4,11058.91,12.12,4,11015.52,146.08,14.89,13,10979.42,16.39,5,1,83
5614.01,13.18,5623.7,8.71,1,5678.39,11.27,2,5692.83,11015.52,13.35,1,5711.41,13.48,0,1,77
19275.38,73.67,19346.06,71.13,0,19420.01,79.97,2,19795.06,5692.83,85.22,4,19960.96,101.6,0,4,939
3620,33.43,3620,40.06,0,3620,27.35,0,3620,19795.06,24.86,0,3618,32.06,0,2,81
6719.05,19.2,6743.96,16.9,0,6736.42,18.41,0,6745.48,3620,20.75,0,6749.23,22.67,0,1,940
6687.36,15.4,6700.65,19.25,0,6686.12,14.06,53,6691.01,6745.48,16.74,0,6698.93,10.75,0,1,941
19965.53,18.73,20372.05,19.63,35,20826.88,20.98,29,21884.73,6691.01,22.53,0,22586.55,25.77,0,1,86
4395.08,22.98,4458.39,22.21,0,4423.18,22.16,0,4262.27,21884.73,21.58,0,4318.54,25.24,0,1,87
12857.09,17.34,12821.46,16.61,0,12785.45,17.68,0,12724.43,4262.27,15.01,0,12655.73,14.7,1,1,942
7907,22.13,7973.98,17.43,3,8186.52,17.35,0,8904.18,12724.43,17.86,9,9618.74,16.63,23,1,88
13002.81,14.38,12951.82,13.97,0,12912.47,10.53,0,12875.95,8904.18,14.21,0,12869.64,15.54,0,1,943
