year,neighborhood,population,crimerate,brightness,severity
2017,Borden Farm,8539.038505,20.61121986,0,safe
2017,Braemar Park,7079.213656,19.63494913,0,safe
2017,Briar Green,4469.191634,15.88654187,0,safe
2017,Bridlewood,25497.71684,8.981196295,2,safe
2017,Britannia Village,6600.075882,41.21164739,0,risk
2017,Brookside,13207.75327,12.71980151,0,safe
2017,Byward Market,6905.671077,298.0159317,0,highrisk
2017,Cardinal Creek,10392.35404,12.60542121,0,safe
2017,Carleton Heights ,7709.363166,23.47794443,7,less safe
2017,Carleton University,1349.810629,127.4252819,0,highrisk
2017,Carlington,12511.45787,46.03780039,5,less safe
2017,Carlingwood West ,9564.934199,34.60557,0,risk
2017,Carp,6540.402468,13.14903791,18,safe
2017,Carson Grove,12865.27168,51.30089877,16,risk
2017,Centrepointe,7809.235812,18.3116509,0,safe
2017,Centretown,31889.83608,139.6996833,2,highrisk
2017,Chapel Hill North,10308.90165,11.34941471,0,safe
2017,Chapel Hill South,10617.95804,16.76405194,108,safe
2017,Chapman Mills,11038.71903,32.34070902,0,less safe
2017,Chatelaine Village,4590.644653,20.25859265,0,safe
2017,Cityview,10506.09978,66.62796041,0,risk
2017,Civic Hospital,10572.30894,40.10476825,0,less safe
2017,Constance Bay,2317.654588,17.25882718,0,safe
2017,Convent Glen,15894.72345,20.00663937,4,safe
2017,Corkery,3857.55485,8.813873379,0,safe
2017,Crystal Bay,4188.32524,9.550356695,0,safe
2017,Cumberland,4321.621935,16.66041155,1,safe
2017,Dunrobin,6618.180888,5.590660127,3,safe
2017,East Industrial,5079.45109,108.6731598,13,highrisk
2017,Edwards,4109.200173,22.87549792,10,safe
2017,Elmvale,13086.30296,32.47670495,0,less safe
2017,Emerald Woods,5298.427719,23.7806396,0,safe
2017,Fallingbrook,18567.87228,11.36371453,4,safe
2017,Findlay Creek,9106.396962,17.0210019,54,safe
2017,Fitzroy,4293.798315,6.521032881,0,safe
2017,Glebe,13957.51998,49.79394627,0,risk
2017,Glen Cairn,11409.79502,28.48429787,103,safe
2017,Greely,10568.08091,12.49044184,9,safe
2017,Greenbelt,1626.062506,232.4633884,1,highrisk
2017,Greenboro East,10062.43643,23.95046186,0,safe
2017,Hawthorne Meadows,7172.067974,23.28477653,0,safe
2017,Hintonburg ,11362.37097,41.45261595,0,risk
2017,Hunt Club,2941.203289,56.77948227,0,risk
2017,Hunt Club East,11053.0402,16.73747644,37,safe
2017,Hunt Club Park,8335.551511,18.11517808,0,safe
2017,Hunt Club South Industrial,1120.300465,116.0402982,0,highrisk
2017,Hunt Club Upper,7814.405433,24.31406991,0,safe
2017,Hunt Club Woods ,6078.520599,19.57713198,0,less safe
2017,Iris ,6298.40898,32.54790228,0,less safe
2017,Island Park ,5762.412422,28.46030238,0,less safe
2017,Kanata Lakes,17557.5946,23.75040599,38,safe
2017,Kanata-Katimavik,12344.01916,18.63250511,508,safe
2017,Kinburn,2066.514587,6.774692077,0,risk
2017,Laurentian,10415.40121,33.31604737,0,less safe
2017,Lebreton,671.4821537,105.7362427,0,risk
2017,Ledbury ,13483.88545,35.74637309,12,less safe
2017,Lindenlea,5013.649794,24.33357036,4,less safe
2017,Lowertown,7372.943093,116.2358083,0,highrisk
2017,Manor Park,3262.923514,62.52061966,0,risk
2017,Manotick,12373.80754,12.36482784,50,safe
2017,Marlborough,2052.546113,11.20559478,0,safe
2017,Merivale Gardens ,2830.113472,53.35475115,0,less safe
2017,Metcalfe,6424.745003,9.338892044,2,safe
2017,Munster,4951.790946,7.875938307,1,safe
2017,Navan,4933.885952,18.64655991,22,safe
2017,North Gower ,5375.229011,10.60419935,3,safe
2017,Old Barrhaven East,24436.73595,15.18206035,24,safe
2017,Old Barrhaven West,20236.15758,9.142051761,69,safe
2017,Old Ottawa East,8454.570813,26.02142733,111,safe
2017,Old Ottawa South,5982.525857,23.06717987,3,safe
2017,Orléans Industrial,147.299812,285.1327467,0,highrisk
2017,Orléans Village ,11058.91396,12.11692219,4,safe
2017,Osgoode,5678.387773,11.27080477,2,safe
2017,Overbrook,19420.00714,79.96907463,2,highrisk
2017,Parkwood Hills,3620,27.3480663,0,less safe
2017,Pineview,6736.423087,18.4073949,0,safe
2017,Playfair Park,6686.115142,14.05898612,53,safe
2017,Portobello South,20826.88454,20.98249497,29,safe
2017,Qualicum,4423.184463,22.15598305,0,safe
2017,Queenswood Heights,12785.44759,17.67634637,0,safe
2017,Richmond,8186.515791,17.34559654,0,safe
2017,Rideau Crest,12912.47,10.53245428,0,safe
2017,Riverside Park,4994.424027,20.42277537,0,safe
2017,Riverside South,15721.65701,13.54819024,112,safe
2017,Riverview,3098,57.1336346,0,risk
2017,Rockcliffe Park,1815.684452,23.68252917,1,less safe
2017,Rothwell Heights,10438.35502,22.89632798,7,safe
2017,Skyline - Fisher Heights,5829.513231,44.77217731,0,risk
2017,South Keys,4847.762385,60.02769461,1,risk
2017,Stittsville,34067.94134,14.35367037,242,safe
2017,Stonebridge,17153.84675,10.6098651,0,safe
2017,Tanglewood,5506.059312,25.24491512,0,safe
2017,Trend-Arlington,4845.602239,13.41422527,0,safe
2017,Vanier North,11695.95373,51.12879325,33,risk
2017,Vanier South,7421.265416,99.44395714,10,highrisk
2017,Vars,2937.729313,14.29675628,0,safe
2017,Wateridge Village,3698.119012,11.08671729,14,safe
2017,West Centretown,12542.33435,79.57051473,0,risk
2017,Westboro,123964.4825,44.61318217,0,risk
2017,Whitehaven ,12540.60392,27.2714139,1,less safe
2017,Woodvale ,8145.541921,16.94178255,0,safe
2018,Bayshore,9595.790066,60.7558102,1,less safe
2018,Beacon Hill South ,7293.081718,29.61710952,3,safe
2018,Beaverbrook,6953.040263,12.08104611,0,safe
2018,Bells Corners East,5150.199112,34.17343605,89,less safe
2018,Bells Corners West,4400.434412,36.36004654,3,safe
2018,Billings Bridge,12987.33332,55.20763828,19,less safe
2018,Blackburn Hamlet,8989.014219,15.68581344,0,safe
2018,Borden Farm,8522.30327,24.17186921,0,safe
2018,Braemar Park,7087.631537,22.01017352,0,safe
2018,Briar Green,4450.40952,19.77346121,0,safe
2018,Bridlewood,25403.74711,9.368696632,0,safe
2018,Britannia Village,6595.625217,49.12347038,0,risk
2018,Brookside,13147.21568,19.24361828,0,safe
2018,Byward Market,6910.660282,280.4363,0,highrisk
2018,Cardinal Creek,10586.06327,15.58653069,0,safe
2018,Carleton Heights ,7717.949434,21.63787175,2,less safe
2018,Carleton University,1348.969768,175.6896305,0,highrisk
2018,Carlington,12561.12355,43.06939564,1,less safe
2018,Carlingwood West ,9605.009664,37.68866588,0,risk
2018,Carp,6581.497331,15.95381639,5,safe
2018,Carson Grove,12826.76365,45.91961122,8,risk
2018,Centrepointe,7776.188223,19.93264509,0,safe
2018,Centretown,31799.17682,184.375842,0,highrisk
2018,Chapel Hill North,10248.62187,11.41616907,0,safe
2018,Chapel Hill South,11065.69726,17.80276429,35,safe
2018,Chapman Mills,11095.68454,40.4661829,0,less safe
2018,Chatelaine Village,4557.623385,13.38416864,0,safe
2018,Cityview,10520.43673,72.62055932,0,risk
2018,Civic Hospital,10565.53994,40.31975672,0,less safe
2018,Constance Bay,2315.704733,19.00069529,0,safe
2018,Convent Glen,15820.82677,19.84725606,0,safe
2018,Corkery,3901.230888,10.76583294,0,safe
2018,Crystal Bay,4215.395609,13.52186255,0,safe
2018,Cumberland,4324.101167,11.79435865,1,safe
2018,Dunrobin,6559.430082,7.775065725,1,safe
2018,East Industrial,5090.652362,123.3633639,24,highrisk
2018,Edwards,4118.297545,29.86671037,4,safe
2018,Elmvale,13120.07184,36.66138463,0,less safe
2018,Emerald Woods,5312.437798,19.38846231,0,safe
2018,Fallingbrook,18475.33141,13.42330454,3,safe
2018,Findlay Creek,9905.930276,15.74814234,11,safe
2018,Fitzroy,4289.247105,11.19077517,0,safe
2018,Glebe,14002.42445,66.05998865,0,risk
2018,Glen Cairn,11564.92365,28.44809097,42,safe
2018,Greely,10713.57046,15.214349,1,safe
2018,Greenbelt,1633.460932,286.5082298,0,highrisk
2018,Greenboro East,10054.45083,23.27327508,0,safe
2018,Hawthorne Meadows,7189.449001,29.48765614,0,safe
2018,Hintonburg ,11485.39951,46.14554325,0,risk
2018,Hunt Club,2940.534845,50.33097984,0,risk
2018,Hunt Club East,11138.68774,22.08518686,1,safe
2018,Hunt Club Park,8332.335597,16.3219542,0,safe
2018,Hunt Club South Industrial,1115.811689,156.8365,0,highrisk
2018,Hunt Club Upper,7826.040734,22.74457878,0,safe
2018,Hunt Club Woods ,6081.21002,24.66614366,0,less safe
2018,Iris ,6297.97742,31.7562269,0,less safe
2018,Island Park ,5766.645324,26.8787122,0,less safe
2018,Kanata Lakes,17962.89626,22.88049734,31,safe
2018,Kanata-Katimavik,12290.81493,20.09630781,59,safe
2018,Kinburn,2064.54718,12.59356059,19,risk
2018,Laurentian,10467.10995,36.59080699,0,less safe
2018,Lebreton,668.6526756,136.0945724,0,risk
2018,Ledbury ,13483.95384,39.38014075,0,less safe
2018,Lindenlea,4943.627277,33.78086386,0,less safe
2018,Lowertown,7354.675117,128.761636,0,highrisk
2018,Manor Park,3227.739329,61.34324362,0,risk
2018,Manotick,12851.63104,14.31724887,1,safe
2018,Marlborough,2065.822532,14.03799192,0,safe
2018,Merivale Gardens ,2836.078922,51.832126,0,less safe
2018,Metcalfe,6416.670083,10.9090851,6,safe
2018,Munster,4966.20857,10.47076442,0,safe
2018,Navan,5445.801522,15.97560977,12,safe
2018,North Gower ,5373.29908,14.14401076,0,safe
2018,Old Barrhaven East,0,16.315996,9,safe
2018,Old Barrhaven West,24883.55599,11.12883387,26,safe
2018,Old Ottawa East,20397.46505,30.52218455,0,safe
2018,Old Ottawa South,8780.498641,26.02455936,0,safe
2018,Orléans Industrial,5994.337804,232.7563368,0,highrisk
2018,Orléans Village ,146.0755074,14.88808492,13,safe
2018,Osgoode,11015.52019,13.35012154,1,safe
2018,Overbrook,5692.832066,85.22327904,4,highrisk
2018,Parkwood Hills,19795.06091,24.86187845,0,less safe
2018,Pineview,3620,20.75463582,0,safe
2018,Playfair Park,6745.480923,16.7388869,0,safe
2018,Portobello South,6691.006436,22.5271212,0,safe
2018,Qualicum,21884.73155,21.5847443,0,safe
2018,Queenswood Heights,4262.269624,15.01050049,0,safe
2018,Richmond,12724.42582,17.85678567,9,safe
2018,Rideau Crest,8904.178103,14.21254044,0,safe
2018,Riverside Park,12875.95281,22.01744261,1,safe
2018,Riverside South,4996.03891,12.5951404,0,safe
2018,Riverview,16911.28429,61.00710136,0,risk
2018,Rockcliffe Park,3098,23.76838049,0,less safe
2018,Rothwell Heights,1809.126205,18.47263352,0,safe
2018,Skyline - Fisher Heights,17355.68715,42.78149489,0,risk
2018,South Keys,5820.273477,88.16565646,0,risk
2018,Stittsville,4843.155681,14.79544273,79,safe
2018,Stonebridge,37579.13907,15.39574573,0,safe
2018,Tanglewood,18316.74834,26.69830964,0,safe
2018,Trend-Arlington,5505.966557,18.05382848,0,safe
2018,Vanier North,4818.922485,62.80410749,0,risk
2018,Vanier South,11591.59853,97.1209246,0,highrisk
2018,Vars,7351.65983,16.61648498,0,safe
2018,Wateridge Village,2948.878782,13.37744673,52,safe
2018,West Centretown,4036.644742,77.41401193,0,risk
2018,Westboro,12478.36116,57.61044739,0,risk
2018,Whitehaven ,14112.02372,32.17229986,0,less safe
2018,Woodvale ,12588.46902,25.88213838,0,safe
2019,Bayshore,9587.416348,59.34862734,0,less safe
2019,Beacon Hill South ,7330.451205,29.32970891,1,safe
2019,Beaverbrook,6921.34234,12.4253354,0,safe
2019,Bells Corners East,5144.335518,57.34462672,20,less safe
2019,Bells Corners West,4396.597448,29.56831994,8,safe
2019,Billings Bridge,13054.19661,46.11543844,50,less safe
2019,Blackburn Hamlet,8991.819135,18.35001322,4,safe
2019,Borden Farm,8725.435538,25.44285601,0,safe
2019,Braemar Park,7090.578127,25.24476803,0,safe
2019,Briar Green,4446.272883,19.34204271,0,safe
2019,Bridlewood,25309.06623,10.98420611,0,safe
2019,Britannia Village,6597.714001,51.38143302,0,risk
2019,Brookside,13086.31587,15.58880299,0,safe
2019,Byward Market,6843.347005,298.9765094,0,highrisk
2019,Cardinal Creek,10858.38223,14.09049679,0,safe
2019,Carleton Heights ,7737.418601,37.73868457,5,less safe
2019,Carleton University,1339.291299,165.7593088,0,highrisk
2019,Carlington,12566.98399,45.35694488,0,less safe
2019,Carlingwood West ,9602.522116,52.79862872,0,risk
2019,Carp,6792.089637,13.6923988,6,safe
2019,Carson Grove,13212.18103,56.53873485,7,risk
2019,Centrepointe,7764.503073,23.82637991,0,safe
2019,Centretown,32110.28657,202.4896285,0,highrisk
2019,Chapel Hill North,10197.50782,14.70947634,0,safe
2019,Chapel Hill South,11779.98207,22.24112045,44,safe
2019,Chapman Mills,11078.82645,46.84611698,0,less safe
2019,Chatelaine Village,4780.989799,13.80467283,1,safe
2019,Cityview,10572.99145,82.75803537,0,risk
2019,Civic Hospital,10579.03095,44.80561617,0,less safe
2019,Constance Bay,2306.058805,12.5755683,0,safe
2019,Convent Glen,15732.79496,24.02624587,4,safe
2019,Corkery,3992.615886,4.508322492,0,safe
2019,Crystal Bay,4260.968052,11.9691111,0,safe
2019,Cumberland,4311.512458,12.75654438,0,safe
2019,Dunrobin,6625.971853,7.546062843,4,safe
2019,East Industrial,5102.494898,128.9565229,39,highrisk
2019,Edwards,4244.075829,26.62534897,3,safe
2019,Elmvale,13144.59495,44.20067734,0,less safe
2019,Emerald Woods,5319.202229,19.17580787,0,safe
2019,Fallingbrook,18384.73989,18.76556329,16,safe
2019,Findlay Creek,11180.39766,18.15677816,14,safe
2019,Fitzroy,4282.269375,9.107320577,0,safe
2019,Glebe,13878.68139,60.02011119,0,risk
2019,Glen Cairn,11513.10502,28.40241615,72,safe
2019,Greely,10814.42808,12.85319935,3,safe
2019,Greenbelt,1634.212483,296.1671173,0,highrisk
2019,Greenboro East,10038.62527,16.73535922,0,safe
2019,Hawthorne Meadows,7199.926027,33.61145644,0,safe
2019,Hintonburg ,11834.64437,63.54225583,0,risk
2019,Hunt Club,2940,52.38095238,0,risk
2019,Hunt Club East,11136.33709,20.11433366,1,safe
2019,Hunt Club Park,8323.282643,18.86275004,0,safe
2019,Hunt Club South Industrial,1118.369187,128.7589123,0,highrisk
2019,Hunt Club Upper,7841.115442,22.31825323,1,safe
2019,Hunt Club Woods ,6081.652794,46.69783193,0,less safe
2019,Iris ,6301.686198,32.68966329,0,less safe
2019,Island Park ,5806.136449,33.06846157,0,less safe
2019,Kanata Lakes,18623.29427,22.33761621,37,safe
2019,Kanata-Katimavik,12236.64184,23.53586905,44,safe
2019,Kinburn,2072.498774,6.272621322,5,risk
2019,Laurentian,10449.31623,36.36601588,0,less safe
2019,Lebreton,661.1707614,72.59849165,0,risk
2019,Ledbury ,13090.42282,39.57091434,7,less safe
2019,Lindenlea,4990.910192,38.67030112,0,less safe
2019,Lowertown,7298.008068,173.0609213,0,highrisk
2019,Manor Park,3250.615509,64.60314959,0,risk
2019,Manotick,12989.3085,12.77974112,0,safe
2019,Marlborough,2077.442678,9.145860052,0,safe
2019,Merivale Gardens ,2838.665628,41.56882686,0,less safe
2019,Metcalfe,6416.53255,11.06516634,5,safe
2019,Munster,4996.615072,8.005419554,0,safe
2019,Navan,5797.117882,19.14744572,52,safe
2019,North Gower ,5396.466099,13.52737118,0,safe
2019,Old Barrhaven East,25109.07909,16.40840743,2,safe
2019,Old Barrhaven West,20423.81921,12.43645948,7,safe
2019,Old Ottawa East,9308.525814,22.13024963,6,safe
2019,Old Ottawa South,5953.260297,26.03615368,0,safe
2019,Orléans Industrial,144.9823493,179.3321748,0,highrisk
2019,Orléans Village ,10979.42009,16.39430849,5,safe
2019,Osgoode,5711.407201,13.48179131,0,safe
2019,Overbrook,19960.95625,101.598339,0,highrisk
2019,Parkwood Hills,3618,32.06191266,0,less safe
2019,Pineview,6749.229536,22.6692542,0,safe
2019,Playfair Park,6698.93369,10.74797921,0,safe
2019,Portobello South,22586.55029,25.76754717,0,safe
2019,Qualicum,4318.539178,25.24001648,0,safe
2019,Queenswood Heights,12655.72663,14.69690405,1,safe
2019,Richmond,9618.737256,16.63420008,23,safe
2019,Rideau Crest,12869.6426,15.5404471,0,safe
2019,Riverside Park,5002.578206,18.79031094,9,safe
2019,Riverside South,18170.10339,18.98723373,5,safe
2019,Riverview,3105.005662,70.20921176,0,risk
2019,Rockcliffe Park,1818.633111,47.28826252,0,less safe
2019,Rothwell Heights,10442.76666,19.91809324,1,safe
2019,Skyline - Fisher Heights,5834.808459,51.07279906,0,risk
2019,South Keys,4837.397685,94.26555964,0,risk
2019,Stittsville,41575.23257,16.33183889,36,safe
2019,Stonebridge,19372.32951,15.53762545,0,safe
2019,Tanglewood,5499.186494,27.45860686,0,safe
2019,Trend-Arlington,4806.178954,16.64523955,0,safe
2019,Vanier North,11936.53509,72.80169608,1,risk
2019,Vanier South,7657.057061,115.1878578,0,highrisk
2019,Vars,2963.429401,17.20979078,0,safe
2019,Wateridge Village,4260.193055,14.78806223,64,safe
2019,West Centretown,12992.32866,82.04841705,0,risk
2019,Westboro,14228.89945,70.98229936,0,risk
2019,Whitehaven ,12603.68761,37.05264796,0,less safe
2019,Woodvale ,8103.639129,21.71863742,0,safe
