year,light_type,Bracket Length,Pole Height,Pole Type,light_number,Light Source,wattage,Street Name,neighbourhood
2018,SL,2.4,10.6,HAMPTON,1,LED,68,RAVENSCROFT COURT,Stittsville
2017,SL,3,0,WOOD,1,LED,135,GOULBOURN FORCED ROAD,Kanata-lakes
2017,SL,1.8,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,1.8,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,10.6,NEWPORT,1,LED,92,FLAMBOROUGH WAY,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,55,BANDELIER WAY,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,KLONDIKE ROAD,Kanata-lakes
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,KLONDIKE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2018,None,0.3,9.1,MADISON,0,LED,64,MERSEY DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.1,HAMPTON,1,LED,64,BATTERSEA CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,MAXWELL BRIDGE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRAECREEK  AVENUE,Kanata-lakes
2018,SL,2.4,9.8,JU-ALUM,1,LED,138,CARP ROAD,Kanata
2018,SL,2.4,9.8,JU-ALUM,1,LED,138,CARP ROAD,Kanata
2018,SL,2.4,9.1,HAMPTON,1,LED,68,ALON STREET,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2018,None,2.4,9.1,HAMPTON,1,LED,46,ALON STREET,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,GOULBOURN FORCED ROAD,Kanata-lakes
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2018,SL,3,0,WOOD,1,LED,68,JOHNWOODS STREET,Stittsville - Basswood
2018,SL,1.4,9.1,HAMPTON,1,LED,55,GERANIUM WALK,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WEATHERSTONE STREET,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.7,MADISON,1,LED,92,KLONDIKE ROAD,Stittsville
2017,SL,2.4,9.1,HAMPTON,1,LED,64,HUNTSVILLE DRIVE,Stittsville
2020,SL,3,0,WOOD,1,LED,68,MCCOOEYE LANE,Kanata-lakes
2017,SL,2.4,9.1,HAMPTON,1,LED,64,BATTERSEA CRESCENT,Kanata-lakes
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-lakes
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-lakes
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,GOULBOURN FORCED ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,MAXWELL BRIDGE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata-lakes
2019,None,2.4,11.2,ALUMINUM,1,LED,186,PALLADIUM DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOODCHASE STREET,Kanata-Katimavik-Hazeldean
2019,None,2.4,11.2,ALUMINUM,1,LED,186,PALLADIUM DRIVE,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,64,KIRKLAND PRIVATE,Kanata-lakes
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,KANATA AVENUE,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORDELL AVENUE,Carp
2017,SL,1.8,9.1,HAMPTON,1,LED,64,MAXWELL BRIDGE ROAD,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STREAMSIDE  CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GLENBRAE AVENUE,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,KANATA AVENUE,Kanata-lakes
2017,SL,1.8,11.7,JU-ALUM,1,LED,135,MARCH ROAD,Kanata-lakes
2017,SL,2.4,11.2,JU-ALUM,1,LED,138,MARCH ROAD,Kanata
2018,SL,1.4,9.1,HAMPTON,1,LED,35,BANDELIER WAY,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,55,GERANIUM WALK,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WEATHERSTONE STREET,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2018,SL,1.8,0,WOOD,1,LED,68,MCCOOEYE LANE,Kanata-lakes
2018,SL,2.4,0,WOOD,1,LED,68,NEIL AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STREAMSIDE  CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.1,HAMPTON,1,LED,64,HUNTSVILLE DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GLENBRAE AVENUE,Kanata-Katimavik-Hazeldean
2019,SL,2.4,0,WOOD,1,LED,68,MAPLE GROVE ROAD,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BURWASH LANDING,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata-lakes
2018,SL,3,0,WOOD,1,LED,68,JOHNWOODS STREET,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.1,HAMPTON,1,LED,64,BATTERSEA CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,55,BANDELIER WAY,Kanata-lakes
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,KLONDIKE ROAD,Kanata
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,KLONDIKE ROAD,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STREAMSIDE  CRESCENT,Stittsville - Basswood
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2018,SL,2.4,9.1,HAMPTON,0,LED,68,ALON STREET,Kanata-Katimavik-Hazeldean
2018,SL,2.4,6.4,DAVIT-CONCRETE,1,LED,138,CARP ROAD,Kanata-Katimavik-Hazeldean
2019,SL,2.4,9.1,HAMPTON,1,LED,68,CANDOW CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,3,0,WOOD,1,LED,92,KLONDIKE ROAD,Kanata-lakes
2018,SL,1.8,9.1,HAMPTON,1,LED,68,AMBERLAKES DRIVE,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,GOULBOURN FORCED ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,JU-ALUM,1,LED,138,MORGAN'S GRANT WAY,Kanata-lakes
2017,SL,2.4,11.2,JU-ALUM,1,LED,138,MORGAN'S GRANT WAY,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GLENBRAE AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata-Katimavik-Hazeldean
2018,SL,1.8,9.1,HAMPTON,1,LED,68,MIKA STREET,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.7,JU-ALUM,1,LED,135,MARCH ROAD,Kanata-lakes
2017,SL,2.4,11.2,JU-ALUM,1,LED,138,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WEATHERSTONE STREET,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KIRLAND PRIVATE,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Kanata-lakes
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORDELL AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ARNCLIFF AVENUE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STREAMSIDE  CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BURWASH LANDING,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,JU-ALUM,1,LED,138,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,JU-ALUM,1,LED,138,MARCH ROAD,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KEYROCK DRIVE,Kanata
2018,SL,1.4,9.1,HAMPTON,1,LED,35,GERANIUM WALK,Kanata-lakes
2018,None,0.3,9.1,MADISON,0,LED,64,Beacon Way,Kanata
2019,None,2.4,11.2,ALUMINUM,1,LED,310,PALLADIUM DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.7,MADISON,1,LED,92,KLONDIKE ROAD,Stittsville - Basswood
2019,None,2.4,11.2,ALUMINUM,1,LED,310,PALLADIUM DRIVE,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville - Basswood
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Stittsville - Basswood
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STREAMSIDE  CRESCENT,Kanata
2017,SL,2.4,0,WOOD,1,LED,138,MARCH ROAD,Stittsville
2017,None,1.8,9.1,HAMPTON,0,LED,64,MCPEAKE PLACE,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Kanata
2017,SL,2.4,9.1,HAMPTON,1,LED,64,HUNTSVILLE DRIVE,Kanata
2018,SL,1.8,0,WOOD,1,LED,68,MCCOOEYE LANE,Kanata-Katimavik-Hazeldean
2017,SL,3,0,WOOD,1,LED,135,GOULBOURN FORCED ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,MAXWELL BRIDGE ROAD,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GLENBRAE AVENUE,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville - Basswood
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,KEYROCK DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,KANATA AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,3,0,WOOD,1,LED,135,GOULBOURN FORCED ROAD,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,KANATA AVENUE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,3,0,WOOD,1,LED,135,GOULBOURN FORCED ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WINDANCE CRESCENT,Kanata
2017,SL,2.4,9.1,HAMPTON,1,LED,64,BATTERSEA CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Stittsville - Basswood
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,68,KANATA AVENUE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,CELTIC RIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2019,PL,0,6.1,HAMPTON,1,LED,27,VIVERA PLACE,Stittsville - Basswood
2019,PL,0,6.1,HAMPTON,1,LED,27,VIVERA PLACE,Kanata
2018,SL,1.8,9.1,HAMPTON,1,LED,68,KINALEA CRESCENT,Stittsville - Basswood
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,TERRY FOX DRIVE,Stittsville
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STRATHCARRON CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata
2019,SL,1.4,9.1,MADISON,1,LED,80,VIVERA PLACE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-lakes
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Kanata-Katimavik-Hazeldean
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,68,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,3,9.8,DAVIT-ALUMINUM,1,LED,135,CAMPEAU DRIVE,Kanata-lakes
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-lakes
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2019,SL,1.4,9.1,MADISON,1,LED,80,MERRIL STREET,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville - Basswood
2019,PL,0,6.1,HAMPTON,1,LED,27,VIVERA PLACE,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata-Katimavik-Hazeldean
2019,SL,1.4,9.1,MADISON,1,LED,55,INDICA STREET,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,68,ROGER NEILSON WAY,Kanata-Katimavik-Hazeldean
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-lakes
2018,SL,2.4,9.1,HAMPTON,1,LED,68,ALON STREET,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Kanata-lakes
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2019,PL,0,6.1,HAMPTON,1,LED,27,VIVERA PLACE,Kanata-Katimavik-Hazeldean
2017,SL,3,9.8,DAVIT-ALUMINUM,1,LED,135,CAMPEAU DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2018,SL,1.8,9.1,HAMPTON,1,LED,68,AMBERLAKES DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,1.8,11.2,JU-ALUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2020,SL,0.15,10.7,MADISON,1,LED,135,SHIRLEY'S BROOK DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,68,ROGER NEILSON WAY,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-lakes
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STRATHCARRON CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STRATHCARRON CRESCENT,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2019,SL,1.4,9.1,MADISON,1,LED,55,MERRIL STREET,Kanata
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Stittsville - Basswood
2019,SL,1.4,9.1,MADISON,1,LED,80,INDICA STREET,Stittsville
2017,SL,3,9.8,DAVIT-ALUMINUM,1,LED,135,CAMPEAU DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,68,ROGER NEILSON WAY,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata-lakes
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,68,ROGER NEILSON WAY,Stittsville - Basswood
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville - Basswood
2017,SL,2.4,9.8,ALUMINUM,1,LED,64,KANATA AVENUE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-lakes
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2018,SL,3,0,WOOD,1,LED,64,MARCH VALLEY ROAD,Kanata
2019,SL,1.4,9.1,MADISON,1,LED,55,VIVERA PLACE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Stittsville
2017,SL,2.4,9.8,ALUMINUM,1,LED,64,KANATA AVENUE,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STRATHCARRON CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STRATHCARRON CRESCENT,Kanata-Katimavik-Hazeldean
2018,SL,3,0,WOOD,1,LED,68,JOHNWOODS STREET,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata-lakes
2017,SL,1.8,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata
2017,SL,1.8,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,APPLECROSS CRESCENT,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
