year,light_type,Bracket Length,Pole Height,Pole Type,light_number,Light Source,wattage,Street Name,neighbourhood
2018,SL,1.4,9.1,HAMPTON,1,LED,55,EAGLEHEAD CRESCENT,Navan - Sarsfield
2019,None,2.4,11.2,ALUMINUM,1,LED,186,PALLADIUM DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,OAKSIDE  CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,HUNTERBROOK STREET,Billings Bridge - Alta Vista
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,SECOND LINE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,PENRITH STREET,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,DUNOLLIE CRESCENT,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,SCAMPTON DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECHIN CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECHIN CRESCENT,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,35,DISCOVERY CRESECENT,Stittsville
2018,None,2.4,9.8,JU-ALUM,0,LED,68,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,None,2.4,11.2,ALUMINUM,0,LED,138,HAZELDEAN ROAD,Kanata-Katimavik-Hazeldean
